"","Partido","agrotox","cartvdam","cons_mp","conv_interam_rac","correios","div_fundpart","dsil","eletrobras","fundeb_igrej","grilagem","imp_renda","improb_base","improb_dolo","improb_nep","ind.BC","jogazar","lib_san_bas","lic_amb","mineracao_votourg","minireftrab","pec.emg","posse_armas","precatorios","proib_desp_pand","refprev","sisteleit","sisteleit_col","sisteleit_dist","telecom","vot_imp"
"160559","MDB","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim"
"178876","MDB","Sim","Sim","Não",NA,NA,"Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim",NA,"Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"178896","MDB","Sim",NA,"Sim","Sim","Não","Sim",NA,"Sim",NA,NA,"Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim",NA,"Não","Sim","Não"
"178839","MDB","Não","Sim",NA,"Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim",NA,"Não","Não","Sim","Sim",NA,"Sim","Sim",NA,"Sim","Não","Sim","Sim"
"204539","MDB","Sim","Sim","Não",NA,"Sim","Não","Sim","Sim",NA,"Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Não",NA,"Sim"
"204474","MDB","Sim","Sim","Não","Sim","Não","Sim","Sim","Não","Sim",NA,"Sim","Sim",NA,NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não",NA,NA,"Sim","Sim","Sim","Sim","Não","Sim","Sim"
"204471","MDB","Sim","Sim","Não","Sim","Não","Sim","Não","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Sim"
"204478","MDB",NA,"Sim",NA,"Sim",NA,NA,"Sim","Sim","Sim",NA,NA,NA,NA,NA,"Não",NA,"Sim","Sim",NA,NA,"Sim","Sim","Sim","Sim","Sim",NA,NA,NA,"Sim",NA
"73891","MDB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sim",NA,NA,NA,NA,NA,NA,NA,"Sim",NA,NA,NA,NA,NA
"178863","MDB","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Não","Sim","Sim","Não","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"178884","MDB","Sim","Sim","Não",NA,"Sim","Sim","Não","Não",NA,"Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim",NA
"112437","MDB","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim",NA,NA,"Sim",NA,NA,NA,"Sim","Sim","Sim","Sim","Não",NA,"Sim","Não","Não",NA,"Sim",NA,NA,NA,"Sim",NA
"204456","MDB","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não",NA,"Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim","Sim"
"204459","MDB","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não"
"204498","MDB","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim",NA,NA,"Sim","Sim","Sim",NA,"Não","Sim","Sim","Sim","Não","Sim","Sim"
"204431","MDB",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim",NA,NA,"Sim","Sim","Sim",NA,"Sim",NA,"Sim","Sim",NA,"Sim","Sim",NA,"Sim","Não","Sim","Não"
"204441","MDB","Sim",NA,"Não",NA,"Sim","Não","Não","Sim","Sim","Sim",NA,"Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"204361","MDB","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não",NA,"Sim",NA,"Não",NA,"Sim","Sim","Sim",NA,NA,"Sim"
"198783","MDB","Não","Sim","Sim","Sim","Não","Sim","Não","Não","Não","Não","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim",NA,NA,"Sim","Sim"
"141552","MDB",NA,NA,NA,NA,"Não","Sim",NA,"Não",NA,"Sim","Sim","Sim","Sim","Não",NA,NA,NA,"Sim","Sim","Sim",NA,NA,NA,"Sim",NA,"Sim","Não","Não","Sim","Não"
"204365","NOVO","Sim","Não","Não","Não","Sim","Não","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Sim"
"156190","NOVO","Sim","Não","Não","Não","Sim","Não","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Sim"
"204519","NOVO","Sim","Não","Não","Não","Sim","Não","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Não"
"204523","NOVO","Sim","Não","Não","Não","Sim","Não","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Sim"
"204461","NOVO","Sim","Não","Não","Não","Sim","Não","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Sim"
"204528","NOVO","Sim","Não","Não","Não","Sim","Não","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Não"
"204516","NOVO","Sim","Não","Não","Não","Sim","Não","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Sim"
"204532","NOVO","Sim","Não","Não","Não","Sim","Não","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Sim","Não"
"204566","PATRIOTA","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim",NA,NA,"Não","Sim","Sim",NA,"Sim","Sim","Sim","Sim",NA,NA,"Sim","Não"
"204518","PATRIOTA","Sim","Sim","Não","Sim","Sim",NA,"Não","Sim",NA,"Sim",NA,"Sim","Sim","Não","Sim",NA,"Sim","Sim",NA,"Sim","Sim",NA,"Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"204413","PATRIOTA","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Não","Sim","Não"
"204494","PATRIOTA",NA,"Sim",NA,NA,"Sim",NA,"Sim","Sim",NA,"Não","Sim","Sim","Sim",NA,"Sim","Sim","Sim",NA,NA,"Sim","Sim","Não","Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim"
"81055","PCdoB",NA,"Não",NA,"Sim",NA,NA,NA,NA,"Não",NA,NA,NA,NA,NA,NA,NA,"Não",NA,NA,NA,NA,NA,NA,NA,"Não",NA,NA,NA,NA,NA
"74057","PCdoB","Não","Não","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não"
"74060","PCdoB","Não","Não","Sim","Sim","Não","Sim","Sim","Não",NA,"Não","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Não","Não",NA,"Não","Sim","Não","Sim","Sim","Não",NA,"Não"
"178987","PCdoB","Não","Não","Sim","Sim","Não","Sim","Sim","Não",NA,"Não","Sim","Sim","Sim","Não","Não","Não","Não","Não",NA,"Não","Não",NA,"Não","Sim","Não","Sim","Sim","Não","Sim","Não"
"73943","PCdoB","Não","Não",NA,"Sim","Não","Sim","Sim","Não","Não","Não",NA,"Sim","Sim",NA,"Não","Sim","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não"
"160641","PCdoB","Não","Não",NA,NA,"Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Não","Não","Não","Não","Não","Não","Não","Não",NA,"Não","Sim","Não","Sim","Sim","Não","Não","Não"
"141440","PCdoB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73801","PCdoB","Não","Não","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não",NA,"Não","Sim","Sim","Não","Não","Não"
"74848","PCdoB","Não","Não","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não"
"216545","PDT",NA,NA,NA,NA,NA,NA,NA,"Não",NA,"Não",NA,"Sim",NA,NA,NA,NA,NA,"Não",NA,"Não",NA,NA,NA,"Sim",NA,NA,"Não","Não","Não","Não"
"74439","PDT",NA,"Não","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim",NA,"Sim","Não","Sim",NA,"Não","Não","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não","Não"
"74467","PDT",NA,"Não",NA,"Sim","Não","Sim",NA,"Não","Não","Não","Sim","Sim","Sim","Sim",NA,"Não","Não",NA,"Não","Não",NA,"Não",NA,"Sim","Não","Não","Não","Não","Não","Não"
"73460","PDT","Não","Não","Não","Sim","Não","Sim","Sim","Não",NA,"Não","Sim","Não","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não"
"74299","PDT","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Não","Não"
"73486","PDT","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Não","Não","Sim",NA,NA,"Não","Não","Não","Sim","Não","Sim","Não","Não","Não","Não","Não","Sim"
"160598","PDT",NA,"Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Não",NA,"Sim","Não","Não","Sim","Sim","Sim","Não","Não","Não","Não","Não",NA
"141439","PDT","Não","Não","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Sim",NA,"Não","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não"
"141411","PDT","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não","Não","Sim","Não","Não","Não","Não",NA,"Não","Não","Sim","Sim","Sim","Não","Não","Não","Não","Não","Não"
"74158","PDT","Não","Não","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim",NA,"Sim",NA,"Não","Não","Não","Não",NA,"Sim","Sim","Não","Não","Não","Não","Não","Não"
"133439","PDT","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Não","Não","Não","Não","Sim","Sim","Não","Não","Não","Não",NA,"Não"
"204489","PDT","Não","Não","Não","Sim",NA,"Sim","Sim",NA,"Não",NA,NA,NA,"Sim","Sim","Não","Sim","Sim",NA,"Não",NA,"Sim","Não","Sim",NA,"Não","Não",NA,NA,NA,NA
"178835","PDT","Não","Não","Não","Sim","Não","Sim",NA,NA,"Não","Não","Sim",NA,"Sim","Sim","Não","Sim","Não","Sim",NA,"Não","Não","Sim","Sim","Sim","Não","Não","Não",NA,"Não","Não"
"133968","PDT","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não"
"178874","PDT",NA,"Não",NA,"Sim",NA,NA,NA,NA,"Não",NA,NA,NA,NA,NA,NA,NA,"Não",NA,NA,NA,NA,"Não",NA,NA,"Não",NA,NA,NA,NA,NA
"160666","PDT","Não","Não","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Não","Não","Não","Sim","Sim","Sim","Não","Não","Não","Não","Não","Não"
"204533","PDT","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não"
"204541","PDT","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Não","Não","Não"
"205548","PDT","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Não","Não","Não"
"204486","PDT","Não","Não",NA,"Sim",NA,NA,NA,NA,"Não",NA,NA,NA,NA,NA,NA,"Sim","Sim",NA,"Não",NA,NA,"Não",NA,NA,NA,NA,NA,NA,NA,NA
"204435","PDT","Não","Não","Não","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Não","Não","Não","Sim",NA,"Sim","Sim","Não","Não","Não","Sim","Sim"
"161550","PL","Sim","Não","Não","Sim","Sim","Sim",NA,"Não","Não","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim",NA,NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim"
"204396","PL","Sim","Sim","Sim","Sim","Não","Não","Sim",NA,"Sim","Sim","Sim","Sim",NA,NA,"Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim",NA,"Sim","Não","Não","Não",NA,"Sim"
"204360","PL","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim","Sim"
"133810","PL","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim",NA,NA,"Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Não","Sim","Sim"
"204403","PL","Sim",NA,"Sim",NA,"Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não",NA,"Sim","Sim","Sim","Sim","Sim","Sim",NA,NA,NA,"Sim","Sim","Sim","Não","Sim","Sim"
"204462","PL","Sim",NA,"Não",NA,"Sim","Não",NA,"Sim",NA,"Sim","Não","Não","Sim","Sim",NA,"Não","Sim","Sim",NA,"Sim",NA,"Sim",NA,"Não","Sim","Não","Não","Sim",NA,"Sim"
"204526","PL","Sim","Sim",NA,"Não","Sim","Não","Não","Sim","Sim","Sim","Não","Não","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim"
"204529","PL","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim","Sim"
"204531","PL","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Não",NA,NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Sim"
"204460","PL","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim",NA,"Sim","Sim"
"204525","PL","Não","Não","Não","Sim","Não","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim","Sim","Sim","Não","Sim","Não","Sim","Sim"
"204520","PL","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Não","Não","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Sim"
"204455","PL","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Sim","Sim","Sim"
"204458","PL","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Não","Sim","Sim"
"204411","PL","Sim","Sim",NA,"Não","Sim","Não","Não","Sim","Sim","Sim",NA,"Sim","Sim","Não",NA,"Não","Sim","Sim","Sim",NA,"Sim",NA,"Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim"
"204369","PL","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Sim","Não","Sim","Sim","Sim"
"179587","PL","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim",NA,NA,NA,"Não","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim"
"204517","PL","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Sim","Sim",NA,"Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim"
"204367","PL","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Sim"
"204427","PL","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Sim",NA,"Não",NA,"Não",NA,"Não","Sim","Não",NA,"Sim","Sim","Sim","Sim","Sim",NA
"204514","PL","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Sim"
"204507","PL","Sim","Sim","Sim",NA,"Sim","Não","Não","Sim",NA,"Sim","Não","Sim","Sim","Não","Sim","Não","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Não","Sim","Sim","Não","Sim","Sim","Sim"
"204449","PL","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Não","Sim","Sim","Sim","Não","Sim","Sim"
"204452","PL","Sim","Sim","Sim","Não","Sim",NA,"Não","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não",NA,"Sim","Sim","Sim","Sim","Sim",NA,"Não","Sim",NA,NA,NA,"Sim","Sim"
"204570","PL","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim","Sim",NA,"Sim","Sim","Sim","Não",NA,"Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não",NA,NA,"Sim"
"204567","PL",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim",NA,"Sim","Não"
"204563","PL","Sim",NA,"Sim",NA,NA,"Sim","Sim",NA,NA,NA,"Sim",NA,NA,NA,NA,"Sim",NA,"Sim","Sim",NA,"Sim",NA,"Sim",NA,"Sim","Não","Não","Não",NA,"Não"
"204574","PL","Sim","Sim",NA,"Sim","Sim",NA,NA,"Sim","Sim","Sim",NA,"Sim",NA,NA,"Sim",NA,NA,"Sim",NA,"Sim","Sim",NA,"Sim",NA,"Sim","Sim","Sim","Não","Sim","Não"
"204572","PL",NA,"Sim","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim",NA,NA,NA,"Sim"
"204576","PL",NA,"Sim",NA,"Sim",NA,NA,NA,NA,"Sim",NA,NA,NA,NA,NA,"Sim",NA,NA,NA,NA,NA,NA,"Sim",NA,NA,"Sim",NA,NA,NA,NA,NA
"204554","PL","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não",NA,NA
"204378","PL","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"204376","PL","Sim","Sim","Sim","Sim","Sim","Não","Não",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim",NA,"Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Não","Não",NA,"Sim"
"204416","PL","Sim","Sim","Não","Não",NA,"Não","Não","Sim","Sim","Sim",NA,"Sim","Não","Sim","Sim","Não",NA,"Sim","Sim",NA,"Sim","Sim","Sim",NA,"Sim","Não","Sim","Sim","Sim","Sim"
"204473","PL","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não",NA,"Sim","Sim","Não","Sim","Sim"
"204374","PL","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim"
"218245","PL","Sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Não",NA,NA,"Sim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204472","PL","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"141458","PL","Sim",NA,"Sim",NA,"Sim",NA,"Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não",NA,"Sim",NA,NA,"Sim",NA,"Sim",NA,"Sim","Não","Sim","Sim","Sim",NA,NA,"Não"
"74554","PL","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim",NA,"Não","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Não","Sim","Não"
"204382","PL","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Não",NA,"Sim","Sim","Sim","Não","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Sim"
"204550","PL","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim",NA,"Sim",NA,NA,NA,"Sim","Sim","Sim",NA,"Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Não",NA,"Não"
"115746","PL","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Não",NA,"Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim",NA
"178908","PL","Sim","Sim",NA,"Sim","Sim","Não","Não","Sim","Sim",NA,"Sim","Sim","Sim","Sim",NA,NA,"Sim",NA,"Sim",NA,"Não","Sim","Sim",NA,"Sim","Sim","Não","Não","Sim","Sim"
"178910","PL","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Sim","Não","Sim","Não","Sim","Sim","Sim","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Não","Não","Não","Sim","Sim"
"204385","PL","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim",NA,NA,"Sim","Sim","Não","Sim","Sim","Não","Sim","Não","Sim","Sim","Não","Sim","Sim","Não","Sim","Não"
"160601","PL","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim",NA,NA,"Sim","Sim","Sim","Não",NA,"Não",NA,"Sim",NA,"Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"160976","PL","Sim","Não","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Não","Não","Não",NA,"Não","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Não"
"160558","PL","Sim","Sim","Não","Sim",NA,"Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim","Não",NA,"Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim",NA,NA,"Sim",NA
"160673","PL","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"166402","PL","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim"
"178829","PL","Sim","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim",NA,"Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim"
"204354","PL",NA,"Sim",NA,NA,NA,NA,"Sim",NA,"Sim",NA,NA,NA,NA,NA,NA,NA,"Sim",NA,NA,NA,NA,"Sim",NA,NA,"Sim",NA,NA,NA,NA,NA
"204438","PL",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não",NA,"Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Não","Sim","Sim","Sim","Não",NA,"Não"
"193726","PL","Sim",NA,"Não","Não","Sim","Não","Não","Sim","Sim","Sim","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Sim","Sim"
