"","Partido","agrotox","cartvdam","cons_mp","conv_interam_rac","correios","div_fundpart","dsil","eletrobras","fundeb_igrej","grilagem","imp_renda","improb_base","improb_dolo","improb_nep","ind.BC","jogazar","lib_san_bas","lic_amb","mineracao_votourg","minireftrab","pec.emg","posse_armas","precatorios","proib_desp_pand","refprev","sisteleit","sisteleit_col","sisteleit_dist","telecom","vot_imp"
"204527","UNIÃO","Sim","Sim","Sim",NA,"Sim","Não","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Sim",NA,"Não","Sim","Não","Não","Não",NA,"Não"
"204412","UNIÃO","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Sim"
"204521","UNIÃO","Sim","Sim",NA,"Sim","Não",NA,"Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Sim","Não","Não","Não","Sim","Sim"
"204457","UNIÃO","Sim","Sim",NA,"Sim",NA,NA,"Sim","Sim","Sim",NA,NA,NA,NA,NA,"Sim","Sim","Sim","Sim","Sim",NA,"Sim",NA,NA,"Não","Sim",NA,NA,NA,"Sim",NA
"160600","UNIÃO","Sim","Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim",NA,NA,NA,NA,"Sim","Sim",NA,NA,"Sim",NA,"Sim","Sim","Sim","Não","Sim","Não","Não","Não",NA,NA
"178854","UNIÃO","Sim",NA,"Sim","Sim","Sim",NA,"Sim","Sim",NA,"Sim","Não","Sim",NA,NA,"Sim","Sim",NA,"Sim","Sim",NA,"Sim",NA,"Sim","Não","Sim","Não","Sim","Não","Sim",NA
"178860","UNIÃO",NA,"Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim",NA,"Sim","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Não",NA,NA
"92102","UNIÃO","Não","Sim","Sim","Sim",NA,"Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Não","Sim","Sim"
"178886","UNIÃO","Sim","Sim","Sim",NA,"Sim","Sim",NA,"Sim",NA,"Sim","Sim","Sim","Sim","Não","Sim","Sim","Sim",NA,"Sim","Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim",NA,"Sim",NA
"74856","UNIÃO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74212","UNIÃO",NA,NA,NA,NA,"Sim","Sim","Sim","Sim",NA,"Sim","Não","Sim",NA,"Não","Sim",NA,NA,"Sim",NA,"Sim","Sim",NA,"Sim","Sim","Sim","Sim","Sim","Não","Sim",NA
